title,uuid,tags,links,last_mod_dt,word_count
H-University of Idaho,['202211171832'],"['#university-class', '#hub', '#MSE101', '#ENGL393', '#ENGL473', '#ENGL316', '#ART111', '#JAMM328', '#ENGL463', '#ENGL501']","['[[202211171832]]', '[[202111181949]]', '[[202006231614]]', '[[202001161029]]', '[[202012212010]]', '[[202005210851]]', '[[202108241002]]', '[[202201010606]]', '[[202206251726]]', '[[202102170655]]', '[[202211270741]]', '[[202211241207]]', '[[202302210919]]']",Tue Feb 21 09:19:32 2023,368
A-3 sides of Risk,['202005211026'],"['#investing', '#article']","['[[202005211026]]', '[[202003040712]]', '[[201911010747]]']",Sun Apr 25 10:45:47 2021,130
B-Owning It All,['202101232137'],"['#ENGL473', '#book', '#environmental']","['[[202101232137]]', '[[202012212010]]', '[[202102041658]]', '[[202102161635]]', '[[202103050813]]', '[[202105121729]]', '[[202101281542]]', '[[202101081953]]', '[[201901291200]]', '[[202101291404]]', '[[202103241953]]', '[[202106301549]]', '[[202101281614]]', '[[202104061057]]', '[[201901161113]]', '[[201901171252]]', '[[202104061203]]', '[[202101081953]]', '[[202101251637]]', '[[202102012019]]', '[[202102091013]]', '[[202102150813]]', '[[202101281736]]', '[[202302120759]]', '[[202102231751]]', '[[202102181719]]']",Sun Feb 12 07:59:19 2023,1475
I'm Sorry For,['202007311455'],[],"['[[202007311455]]', '[[202005210851]]', '[[201903110656]]', '[[202007050647]]', '[[202007240739]]']",Sun Jul 31 11:08:55 2022,55
Writing For Many Readers-Selves,['202108311609'],['#writing'],"['[[202108311609]]', '[[202204280820]]']",Mon May 02 20:34:09 2022,182
B-Fire Season,['202005111628'],"['#quote', '#writing,', '#book,', '#quote']","['[[202005111635]]', '[[202005111651]]', '[[202005111759]]', '[[202005111712]]', '[[202212282101]]', '[[202005111721]]', '[[202005111729]]', '[[202005111628]]', '[[202005080655]]', '[[202005051541]]', '[[202003190902]]', '[[201911261440]]', '[[202003291526]]']",Thu Dec 29 20:46:13 2022,318
Situated,['201901282000'],['#zettelkasting'],"['[[201901282000]]', '[[202204251523]]', '[[201901281916]]', '[[201901281919]]']",Mon Apr 25 15:33:28 2022,90
Image,['201911271321'],"['#haiku,', '#writing', '#skill']","['[[202012151752]]', '[[201911220842]]', '[[201907041641]]', '[[202006270631]]', '[[202009050716]]', '[[201911271321]]']",Tue Dec 15 21:13:26 2020,110
A-Zhuangzi and Bashō on the Art of Travel,['202208112055'],"['#ENGL463', '#travel', '#article', '#definition']","['[[202208112055]]', '[[202207302024]]', '[[201902241205]]', '[[202208112055]]', '[[202208112055]]', '[[202104020841]]', '[[202207080744]]', '[[202208191928]]']",Wed Nov 09 08:19:19 2022,926
Inspiration for Incorporating Specific Emotions in Writing,['202303191143'],"['#spark', '#spoon', '#writing-tip', '#AI']","['[[202303191143]]', '[[202303181233]]']",Mon Mar 20 11:45:52 2023,322
Titling Zettels,['202004202105'],"['#Comment_16026', '#Comment_7844', '#zettelkasting']","['[[202009042049]]', '[[202004202105]]', '[[201901231915]]', '[[202009100604]]', '[[202002011055]]']",Tue Feb 14 08:16:56 2023,467
B-Each Happiness Ringed by Lions,['202005131516'],"['#book', '#poetry']","['[[202005131516]]', '[[202005121034]]', '[[201912171125]]']",Mon Jan 09 09:19:25 2023,123
Insights through making,['202006071524'],['#note-taking'],"['[[202006290716]]', '[[202006071524]]', '[[202006280835]]', '[[201910151039]]', '[[201902141904]]', '[[201903010555]]', '[[202106291412]]', '[[202012150921]]']",Mon Nov 14 06:12:51 2022,111
Use Miniphors To Describe Puny Images,['202105252056'],['#article'],"['[[202105252056]]', '[[202012281442]]', '[[202105252033]]', '[[202105250949]]']",Sat Jun 12 20:39:27 2021,133
Feel the presence of the other,['201903081545'],['#conversation-skills'],"['[[201905140815]]', '[[201901021642]]', '[[201903081545]]']",Tue Dec 27 08:30:02 2022,104
Why the American Dream is more attainable in some cities than others,['202208020721'],"['#article', '#economics', '#definition']","['[[202208020721]]', '[[202201011633]]', '[[202109220808]]', '[[202206020946]]', '[[202208090830]]']",Tue Aug 09 08:30:51 2022,269
You Can Keep It To Yourself,['202303181625'],['#proofing'],['[[202303181625]]'],Sun Mar 19 17:44:10 2023,226
Questions To Ask While Editing Writing,['202009050716'],"['#writing', '#skill', '#edit']","['[[202009050716]]', '[[202008312042]]', '[[201911271321]]', '[[202008292059]]', '[[202002181650]]', '[[202008312038]]', '[[202009061624]]', '[[202009191612]]', '[[202101021802]]']",Mon Sep 05 07:49:38 2022,222
"Separate Observation, Interpretation, and Synthesis In Notes",['202105200607'],"['#zettelkasting', '#Comment_11875']","['[[202105200607]]', '[[202011221748]]', '[[201902051907]]', '[[202006230740]]', '[[202210151806]]', '[[201907041553]]', '[[202105200857]]', '[[202008240934]]']",Wed Dec 28 08:54:14 2022,332
PD Pathology,['202207130901'],"['#PD', '#medical']","['[[202207130901]]', '[[202207071944]]', '[[202207131651]]', '[[202207131652]]', '[[202206231656]]', '[[202207131645]]', '[[202207131615]]', '[[202207071958]]']",Mon Mar 13 10:37:19 2023,241
B-Writing Without Teachers,['202303221435'],"['#proofing', '#book']",['[[202303221435]]'],Thu Mar 23 08:57:51 2023,544
Taking Note 2015,['202106291000'],['#note-taking'],"['[[202106291000]]', '[[202106301810]]', '[[202106301814]]', '[[202106301816]]', '[[202106301918]]', '[[202106301920]]', '[[202106301921]]']",Wed Jun 29 09:45:03 2022,77
Biophilial,['202007140603'],"['#definition', '#literary-device']","['[[202007140603]]', '[[202012192024]]', '[[202006160738]]', '[[202001121118]]']",Tue Apr 12 07:55:24 2022,118
Generate A Sensually Alive Image,['202008311644'],"['#writing', '#skill']","['[[202008311644]]', '[[202302030604]]', '[[202004281351]]', '[[201904141619]]', '[[201911271321]]', '[[202002280909]]']",Sat Feb 04 07:50:01 2023,172
Things Get Their Shapes From What They Do,['202104130821'],['#ENGL473'],['[[202104130821]]'],Wed Apr 14 16:05:59 2021,51
Sedimented Thinking,['202004162022'],"['#Comment_5351', '#writing', '#metaphor']","['[[201812290706]]', '[[202004162022]]']",Tue Oct 25 08:17:13 2022,89
Cultivation Analysis,['202001102044'],"['#thinking-skills,', '#writing', '#skill']","['[[202001102044]]', '[[201910291924]]', '[[202001031639]]', '[[202001102044]]', '[[202210121708]]', '[[202210072107]]', '[[202207202027]]', '[[202009021739]]', '[[202203240837]]', '[[202001130822]]', '[[201912270640]]', '[[201910281639]]', '[[201902250629]]', '[[201911121807]]', '[[202008171727]]', '[[202203031429]]']",Sun Oct 16 09:11:57 2022,341
Smart Sketchnoting,['202212311703'],"['#book', '#drawing', '#definitions']","['[[202212311703]]', '[[202212311922]]', '[[201902141904]]', '[[202001021653]]']",Sun Jan 01 08:34:17 2023,343
B-Don't Shoot the Dog,['201811151030'],['#book'],"['[[201811151030]]', '[[201811091435]]', '[[201811091433]]']",Sat Nov 12 20:54:24 2022,51
Hitchens' Razor,['202109220756'],['#mental-models'],"['[[202109220756]]', '[[202109220828]]']",Mon Sep 27 13:53:49 2021,68
"T-March 12, 2021",['202103120555'],['#mule'],"['[[202103120555]]', '[[202103131638]]', '[[202102151621]]']",Wed Jul 13 08:51:03 2022,98
Nam-tok: The Hallucinatory Bubble,['202008090625'],"['#definition', '#zen']","['[[202008090625]]', '[[202010270742]]', '[[202011110626]]', '[[202010262005]]', '[[202008100702]]', '[[202008100658]]']",Tue Nov 17 14:49:41 2020,219
Developing strength,['201902251152'],['#dzogchen'],"['[[201902251152]]', '[[201901301240]]', '[[202010292008]]']",Wed Nov 04 07:47:33 2020,156
Binary Bias,['202106120843'],['#mind-science'],"['[[202106120843]]', '[[202105131452]]', '[[202003040704]]', '[[202109220803]]', '[[201912041709]]', '[[201912041713]]', '[[201912041725]]']",Sun Dec 18 08:16:49 2022,134
B-Illuminations: Essays and Reflections,['202301182132'],"['#book', '#beautiful-language', '#proofing', '#links?', '#beautiful-language']","['[[202301182132]]', '[[202208082023]]', '[[202303020907]]', '[[202206072052]]']",Sat Mar 11 11:08:47 2023,1079
Interstitially awake,['201903301312'],['#zen'],"['[[201904271120]]', '[[201904271127]]', '[[201903301312]]', '[[201903081523]]', '[[201902120605]]', '[[201903050446]]', '[[201905310722]]', '[[202106260623]]']",Fri Feb 10 08:02:49 2023,167
The Act Of Painting,['202110141058'],"['#ART111', '#thinking']","['[[202110141058]]', '[[202107261132]]']",Wed Oct 20 20:17:44 2021,86
Integrating ZM into daily practice,['201812161318'],['#zettelkasting'],"['[[201812161318]]', '[[201812161327]]', '[[201901181109]]']",Fri Oct 01 05:47:38 2021,50
Use Spiderwebs To Augment Thinking,['202106271726'],"['#zettelkasting', '#note-taking', '#mind-science']","['[[202106271726]]', '[[201903011645]]']",Fri Oct 01 05:47:38 2021,139
Mind is unreliable,['201811111615'],"['#blog-post', '#thinking-skills']","['[[201811111615]]', '[[202108182015]]', '[[201811111610]]', '[[201812250858]]', '[[201901061828]]', '[[201811151032]]', '[[201905290713]]', '[[202106301921]]']",Fri Feb 18 19:55:52 2022,233
Process And Create New Ideas,['202103111214'],"['#note-taking', '#zettelkasting', '#forum-post']","['[[202103111214]]', '[[202103112005]]', '[[202211280858]]', '[[202205260705]]', '[[201901211034]]', '[[202008222000]]', '[[202208111559]]', '[[202008300702]]', '[[202103260846]]', '[[202105200607]]', '[[202211060904]]', '[[202106301943]]', '[[202205250813]]', '[[202108062028]]']",Sat Mar 11 10:35:12 2023,648
Repeat sentences for impact,['202210072001'],"['#article', '#writing-tip', '#persuasion', '#call-to-action']","['[[202210072001]]', '[[202210072027]]', '[[202210072107]]', '[[202210091138]]', '[[202001230749]]']",Tue Jan 24 08:15:26 2023,330
The Dystopia We Fear Is Keeping Us From the Utopia We Deserve,['202302121749'],"['#science', '#environmental', '#energy-reserve']","['[[202302121749]]', '[[202103070804]]', '[[202302162056]]', '[[202001101624]]', '[[202001031639]]']",Sun Mar 05 09:30:33 2023,403
Syllabus,['202004191800'],"['#writing', '#skill']","['[[202011220805]]', '[[202004191800]]', '[[201911261440]]', '[[202001301713]]', '[[202003160521]]', '[[202003291526]]', '[[202004191800]]']",Sun Nov 22 18:00:29 2020,243
Separation of Concerns of Concerns,['202002210512'],['#thinking-skills'],"['[[202002210512]]', '[[202002210514]]', '[[202002210518]]', '[[202002210520]]', '[[202002210522]]', '[[202002210523]]', '[[202002210524]]', '[[202002210525]]', '[[201902250629]]', '[[201811151032]]', '[[201903011645]]', '[[201812271440]]', '[[202009042049]]', '[[202009100558]]']",Sat Feb 27 05:30:16 2021,151
Attention Drainage Effect,['202203181644'],"['#mind-science', '#cognition']","['[[202203181644]]', '[[202203181638]]', '[[202203231932]]', '[[201904110510]]', '[[202106082050]]', '[[202205141503]]', '[[202203181948]]']",Wed Jul 13 08:51:03 2022,247
Ineffable effed,['201909241021'],['#thinking-skills'],"['[[201909241021]]', '[[202007050819]]']",Mon Aug 17 17:15:27 2020,82
» Hope And Fears Realized,['202011222026'],['#dzogchen'],"['[[202011222026]]', '[[202011170657]]', '[[201904300940]]', '[[202011052046]]', '[[202105040801]]']",Tue May 04 08:36:27 2021,154
Headings as Organizational Signals,['202204272058'],"['#writing', '#reading-strategies']","['[[202204272058]]', '[[202111142113]]', '[[202004210723]]', '[[202007050655]]', '[[202204301722]]', '[[202205152009]]']",Thu May 19 17:29:17 2022,254
Role of structure,['201906060645'],[],"['[[201906060645]]', '[[201901081224]]', '[[201812170939]]']",Sun May 03 15:30:23 2020,198
NetworkX Python Module,['202211061941'],"['#code-snippet', '#python']","['[[202211061941]]', '[[202112302013]]', '[[202207290840]]', '[[202211071545]]']",Tue Nov 08 16:56:27 2022,191
Rewilding Of The Language Of Nature,['202101051728'],"['#writing', '#flash', '#skill', '#quote']","['[[202101051728]]', '[[202012092105]]']",Wed Jan 05 09:49:48 2022,165
"T-November 18, 2020",['202011180617'],"['#mule', '#woodworking', '#blogging']","['[[202011180617]]', '[[202008300653]]', '[[202003262054]]']",Mon Mar 08 16:27:17 2021,344
Holy Smokes - Kim Stafford,['202101150603'],"['#ENGL473', '#poetry']","['[[202101150603]]', '[[202006091319]]', '[[202101160626]]', '[[202101150821]]', '[[202003020839]]', '[[202008061946]]', '[[202005051541]]']",Sat Feb 27 05:30:16 2021,206
Types Of Notes That Add Structure,['202008250546'],['#latest'],"['[[202008250546]]', '[[202008230753]]', '[[202004202103]]', '[[202103250921]]']",Mon Jan 16 08:49:47 2023,134
The Wrong Side Of History,['202009212028'],['#history'],"['[[202009212028]]', '[[202011170657]]', '[[202007201757]]', '[[202008190538]]', '[[202008191345]]', '[[201908121002]]', '[[202010171553]]', '[[202009220815]]', '[[202001120724]]', '[[202009210916]]', '[[202009210922]]', '[[202009220758]]', '[[201910291924]]', '[[201902041012]]', '[[201912291022]]', '[[201912201507]]']",Wed Dec 21 19:46:17 2022,188
Lyrical Music Notation,['202204160713'],['#literary-device'],"['[[202204160713]]', '[[201905171128]]', '[[201905100924]]', '[[201905231329]]']",Tue Nov 22 08:07:12 2022,52
River Above - River Below,['202009111953'],['#writing'],"['[[202009111953]]', '[[202002041515]]', '[[202009071933]]', '[[202009071926]]', '[[202009071949]]', '[[202009090725]]', '[[202009071940]]', '[[202009071949]]', '[[202009071933]]', '[[202002100737]]', '[[202303191712]]', '[[202009111947]]', '[[202001230749]]']",Tue Mar 21 09:14:14 2023,204
A-Problem Solving Skills For The Future,['202009021739'],"['#thinking-skills', '#article']","['[[202009021739]]', '[[202205141503]]', '[[202210271458]]', '[[202001031639]]', '[[202001102044]]', '[[202203182001]]', '[[202203190815]]', '[[201902110737]]', '[[202211040837]]']",Fri Nov 04 08:38:08 2022,324
Neurological Glossary,['202207131615'],"['#definition', '#list', '#PD', '#CLIPPERS']","['[[202207131615]]', '[[202207131631]]', '[[202207131652]]']",Thu Jul 14 11:32:05 2022,445
Arrive at nondoing,['201902251223'],['#dzogchen'],"['[[201902251223]]', '[[201901301240]]', '[[202010300736]]']",Wed Nov 04 07:37:32 2020,180
You are what you do,['202012150928'],"['#blog-post', '#31by31']","['[[202012150928]]', '[[202012161026]]', '[[202207231714]]']",Tue Oct 04 19:41:59 2022,347
B-Writing Science In The 21st Century,['202201120840'],"['#book', '#JAMM328']","['[[202201120840]]', '[[202303181732]]', '[[202204111808]]', '[[202211060904]]', '[[202201201401]]', '[[202202082107]]', '[[202201120840]]', '[[202204060753]]']",Mon Mar 20 11:57:03 2023,834
Bardo,['201901301829'],['#dzogchen'],"['[[201901301829]]', '[[201901301240]]']",Sun May 03 15:30:24 2020,50
Precarity,['202007201008'],['#definition'],"['[[202007201008]]', '[[202101150821]]', '[[202102100855]]', '[[202202071206]]', '[[202102170655]]']",Mon Feb 14 10:04:58 2022,96
Snow covers the ground,['202003191624'],['#my-haiku'],['[[202003191624]]'],Wed Jul 07 14:09:50 2021,38
The Mind Is Both Empty And Cognizant,['202010300734'],"['#dzogchen', '#beautiful-language', '#beautiful-language']","['[[202010300734]]', '[[201902180552]]', '[[202010300749]]', '[[202007202008]]', '[[201903040448]]', '[[202008101526]]', '[[202011071727]]', '[[202010300736]]', '[[201904041053]]', '[[201909030551]]', '[[202009061358]]', '[[202010261930]]', '[[201901301240]]', '[[202010270725]]']",Wed Jul 13 08:51:03 2022,229
