title,uuid,tags,links,last_mod_dt,word_count
H-University of Idaho,['202211171832'],"['#university-class', '#hub', '#MSE101', '#ENGL393', '#ENGL473', '#ENGL316', '#ART111', '#JAMM328', '#ENGL463', '#ENGL501', '#GEOL454', '#EDCI445']","['[[202211171832]]', '[[202111181949]]', '[[202006231614]]', '[[202001161029]]', '[[202012212010]]', '[[202005210851]]', '[[202108241002]]', '[[202201010606]]', '[[202206251726]]', '[[202102170655]]', '[[202211270741]]', '[[202211241207]]', '[[202308152012]]', '[[202312070644]]', '[[202302210919]]']",Tue Apr 09 05:52:08 2024,415
Misconceptions About Free Will,['202305141952'],"['#creativity', '#deterministic']","['[[202305141952]]', '[[202305141935]]', '[[202305020828]]', '[[202305170541]]', '[[202005211026]]']",Tue Aug 22 07:06:18 2023,442
A-3 sides of Risk,['202005211026'],"['#investing', '#article']","['[[202305141952]]', '[[202005211026]]', '[[202003040712]]', '[[201911010747]]']",Fri Nov 24 19:46:44 2023,153
B-Owning It All,['202101232137'],"['#ENGL473', '#book', '#environmental']","['[[202101232137]]', '[[202012212010]]', '[[202102041658]]', '[[202102161635]]', '[[202103050813]]', '[[202105121729]]', '[[202101281542]]', '[[202101081953]]', '[[201901291200]]', '[[202101291404]]', '[[202103241953]]', '[[202106301549]]', '[[202101281614]]', '[[202104061057]]', '[[201901161113]]', '[[201901171252]]', '[[202104061203]]', '[[202101081953]]', '[[202101251637]]', '[[202102012019]]', '[[202102091013]]', '[[202102150813]]', '[[202101281736]]', '[[202302120759]]', '[[202102231751]]', '[[202102181719]]']",Wed Dec 27 20:17:20 2023,1475
B-Almost American Girl,['202404191904'],"['#book', '#EDCI445']",['[[202404191904]]'],Mon Apr 29 18:51:49 2024,396
I'm Sorry For,['202007311455'],[],"['[[202007311455]]', '[[202005210851]]', '[[201903110656]]', '[[202307310734]]', '[[202007050647]]', '[[202007240739]]']",Fri Nov 24 19:46:44 2023,62
Writing For Many Readers-Selves,['202108311609'],['#writing'],"['[[202108311609]]', '[[202204280820]]']",Fri Feb 03 09:09:30 2023,182
B-Fire Season,['202005111628'],"['#quote', '#writing,', '#book,', '#quote']","['[[202005111635]]', '[[202005111651]]', '[[202005111759]]', '[[202005111712]]', '[[202212282101]]', '[[202005111721]]', '[[202005111729]]', '[[202005111628]]', '[[202005080655]]', '[[202005051541]]', '[[202003190902]]', '[[201911261440]]', '[[202003291526]]']",Wed Dec 27 20:17:20 2023,323
Situated,['201901282000'],['#zettelkasting'],"['[[201901282000]]', '[[202204251523]]', '[[201901281916]]', '[[201901281919]]']",Fri Nov 24 19:46:44 2023,95
Image,['201911271321'],"['#haiku,', '#writing', '#skill']","['[[202012151752]]', '[[201911220842]]', '[[201907041641]]', '[[202006270631]]', '[[202009050716]]', '[[201911271321]]']",Fri Nov 24 19:46:44 2023,115
C-Tropospheric Chemistry Ozone Background,['202310182041'],['#GEOL454'],['[[202310182041]]'],Wed Dec 27 19:58:06 2023,748
